Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Calculated_Revenue,Calculated_Profit,Profit_Per_Hectare,Cost_Per_Hectare,Revenue_Per_Hectare,Profit_Margin_Pct,Is_Profitable,NPK_Total_kg_ha,Water_Used_Per_Ha_m3
SF10017,Telangana,0.0,Cotton,Zaid,3.93,80.0,28.4,46.6,5.0,7.08,17.9,121.4,49.3,106.2,Flood,91.1,7.6,0.96,1.0,3.93,64034,218756,251654,32898,4210,0.933,32.3,251653.62000000002,32898,8370.992366412213,55663.104325699744,64034.096692111954,13.072710944391902,True,276.9,1071.2468193384223
SF10018,Maharashtra,0.0,Maize,Rabi,11.04,450.4,21.6,55.3,6.9,5.87,30.7,118.8,93.4,114.4,Rainfed,104.6,5.64,0.79,1.54,17.0,20107,727865,341819,-386046,3453,4.923,43.0,341819.0,-386046,-34967.934782608696,65929.80072463768,30961.865942028988,-112.93871902966191,False,326.6,312.7717391304348
SF10019,Punjab,0.0,Groundnut,Kharif,2.46,851.7,29.0,71.8,6.0,5.89,23.5,155.3,40.4,81.9,Drip,128.2,6.95,0.73,1.13,2.78,66966,143907,186165,42258,1220,2.279,53.1,186165.47999999998,42258,17178.048780487807,58498.78048780488,75676.82926829268,22.699218435259045,True,277.6,495.9349593495935
SF10020,Madhya Pradesh,0.0,Pulses,Rabi,14.48,415.8,22.3,48.3,9.1,6.67,28.6,68.3,40.3,88.1,Drip,274.2,8.54,0.87,1.1,15.93,69127,1125931,1101193,-24738,4803,3.317,27.3,1101193.1099999999,-24738,-1708.4254143646408,77757.66574585636,76049.24033149172,-2.246472689165296,False,196.7,331.6988950276243
SF10021,Punjab,0.0,Rice,Rabi,0.95,409.8,23.2,58.7,7.0,7.49,24.8,85.6,88.7,83.9,Flood,206.0,2.22,0.94,1.6,1.52,20424,58222,31044,-27178,1814,0.838,45.8,31044.48,-27178,-28608.42105263158,61286.31578947369,32677.894736842107,-87.54670789846669,False,258.20000000000005,1909.4736842105265
SF10022,Punjab,0.0,Rice,Rabi,5.62,918.7,22.2,66.8,7.5,7.35,22.8,129.7,65.0,93.4,Sprinkler,179.8,7.59,0.79,2.4,13.49,19160,427915,258468,-169447,8350,1.616,47.7,258468.4,-169447,-30150.71174377224,76141.4590747331,45990.747330960854,-65.55821223517032,False,288.1,1485.7651245551601
SF10023,Andhra Pradesh,0.0,Wheat,Rabi,12.59,212.6,23.2,72.2,8.6,7.35,28.0,99.3,63.0,65.7,Drip,162.4,8.68,0.9,1.25,15.74,24218,820257,381191,-439066,6064,2.596,32.0,381191.32,-439066,-34874.18586179508,65151.46942017474,30277.283558379666,-115.182677450412,False,228.0,481.65210484511516
SF10024,Andhra Pradesh,0.0,Groundnut,Kharif,2.49,1021.3,26.1,70.1,6.7,7.31,15.6,127.8,60.1,68.1,Flood,129.7,7.95,0.9,1.08,2.69,64375,186339,173169,-13170,1713,1.57,41.6,173168.75,-13170,-5289.156626506024,74834.93975903613,69545.78313253011,-7.605287320478839,False,256.0,687.9518072289156
SF10025,Telangana,0.0,Wheat,Zaid,14.47,430.7,32.3,61.2,8.7,6.58,17.1,101.2,37.7,115.8,Rainfed,233.6,3.37,0.66,2.3,33.28,27284,1203928,908012,-295916,3869,8.602,64.0,908011.52,-295916,-20450.310988251553,83201.65860400829,62751.347615756735,-32.5894371440025,False,254.7,267.38078783690395
SF10026,Gujarat,0.0,Pulses,Kharif,13.3,853.0,35.8,85.1,5.2,5.52,25.6,112.5,71.6,98.7,Sprinkler,265.5,4.23,0.67,0.3,3.99,82458,998865,329007,-669858,5584,0.715,75.8,329007.42000000004,-669858,-50365.26315789473,75102.63157894736,24737.36842105263,-203.599923405885,False,282.8,419.84962406015035
SF10027,Madhya Pradesh,0.0,Rice,Rabi,13.8,578.3,22.3,61.6,7.7,6.21,18.6,89.4,75.3,81.5,Drip,216.4,2.45,0.98,2.9,40.02,25815,744909,1033116,288207,17866,2.24,56.2,1033116.3,288207,20884.565217391304,53978.91304347826,74863.47826086957,27.896867341131106,True,246.2,1294.6376811594203
SF10028,Punjab,0.0,Rice,Rabi,10.47,93.9,27.3,45.4,7.7,6.89,27.0,115.6,64.9,123.2,Rainfed,210.2,2.42,0.74,2.45,25.65,21364,545453,547987,2534,9077,2.826,45.7,547986.6,2534,242.0248328557784,52096.75262655205,52338.77745940783,0.46241972893517547,True,303.7,866.953199617956
SF10029,Tamil Nadu,0.0,Maize,Rabi,12.94,443.1,23.0,45.7,6.3,6.32,26.4,139.3,51.3,92.5,Sprinkler,286.7,8.22,0.97,3.01,38.95,20272,1176978,789594,-387384,8230,4.733,32.1,789594.4,-387384,-29936.939721792893,90956.56877897991,61019.62905718702,-49.0611630787468,False,283.1,636.0123647604328
SF10030,Tamil Nadu,0.0,Groundnut,Zaid,13.15,565.4,32.7,50.7,7.3,6.65,15.6,158.0,46.8,151.0,Sprinkler,147.4,5.5,0.89,1.94,25.51,49492,695563,1262541,566978,7423,3.437,30.6,1262540.9200000002,566978,43116.19771863118,52894.5247148289,96010.72243346008,44.90769012649886,True,355.8,564.4866920152091
SF10031,Telangana,0.0,Chilli,Rabi,11.96,284.2,24.1,62.1,7.0,6.93,31.7,188.8,47.8,101.6,Rainfed,250.8,4.06,0.66,1.51,18.06,102219,738746,1846075,1107329,4721,3.825,40.2,1846075.14,1107329,92586.03678929765,61768.06020066889,154354.09698996655,59.98288260227781,True,338.20000000000005,394.73244147157186
SF10032,Madhya Pradesh,0.0,Groundnut,Zaid,0.69,372.1,31.7,30.8,7.4,7.92,12.2,127.3,66.2,131.1,Drip,139.4,4.39,0.96,0.3,0.21,54155,43431,11373,-32058,259,0.811,37.4,11372.55,-32058,-46460.86956521739,62943.47826086957,16482.608695652176,-281.8781324188868,False,324.6,375.36231884057975
SF10033,Madhya Pradesh,0.0,Cotton,Kharif,11.35,1066.8,30.3,76.6,6.4,7.56,35.9,104.2,49.9,106.8,Sprinkler,230.7,4.16,0.7,0.64,7.26,72112,782371,523533,-258838,9585,0.757,67.7,523533.12,-258838,-22805.110132158592,68931.36563876653,46126.25550660793,-49.440627429407506,False,260.9,844.4933920704846
SF10034,Andhra Pradesh,0.0,Maize,Kharif,9.8,849.0,26.4,88.0,8.2,6.03,35.5,154.3,49.1,129.8,Sprinkler,220.2,4.34,0.72,3.65,35.77,21914,782502,783864,1362,5884,6.079,52.1,783863.78,1362,138.97959183673467,79847.14285714286,79986.12244897959,0.17375463090536114,True,333.20000000000005,600.408163265306
SF10035,Madhya Pradesh,0.0,Wheat,Rabi,11.57,427.5,24.0,59.3,6.7,6.71,28.5,157.3,71.5,84.3,Sprinkler,186.8,1.13,0.86,3.83,44.31,26126,648827,1157643,508816,5400,8.206,61.4,1157643.06,508816,43977.1823681936,56078.39239412273,100055.57476231633,43.95275572866592,True,313.1,466.72428694900606
SF10036,Madhya Pradesh,0.0,Cotton,Zaid,7.05,179.4,34.1,55.5,8.7,7.0,14.8,94.3,66.8,101.3,Flood,231.5,7.26,0.96,0.75,5.29,66996,511293,354409,-156884,5944,0.89,29.0,354408.84,-156884,-22253.04964539007,72523.82978723405,50270.78014184397,-44.266370210688784,False,262.4,843.1205673758866
SF10037,Tamil Nadu,0.0,Cotton,Rabi,3.11,429.3,23.6,60.1,7.9,6.96,20.7,40.0,73.9,114.2,Drip,229.0,6.96,0.68,1.71,5.32,52396,243775,278747,34972,1780,2.989,33.0,278746.72000000003,34972,11245.016077170418,78384.24437299036,89629.26045016077,12.546143994374829,True,228.10000000000002,572.347266881029
SF10038,Andhra Pradesh,0.0,Cotton,Kharif,2.79,820.1,26.3,74.6,7.5,7.62,31.9,123.2,91.7,80.6,Flood,153.2,5.91,0.68,0.7,1.95,66405,175756,129490,-46266,3058,0.638,52.5,129489.75,-46266,-16582.795698924732,62994.98207885305,46412.18637992832,-35.72939995366438,False,295.5,1096.057347670251
SF10039,Telangana,0.0,Wheat,Kharif,4.69,657.7,27.1,64.9,6.2,7.85,31.9,87.6,87.5,81.5,Drip,218.9,4.78,0.92,0.98,4.6,25408,293568,116877,-176691,2392,1.923,50.0,116876.79999999999,-176691,-37673.987206823025,62594.456289978676,24920.469083155647,-151.17687825662875,False,256.6,510.0213219616204
SF10040,Tamil Nadu,0.0,Maize,Kharif,6.12,936.0,31.8,56.3,7.1,7.03,30.3,91.9,48.0,103.6,Rainfed,46.3,8.07,0.79,3.24,19.83,24731,321710,490416,168706,2144,9.249,46.7,490415.73,168706,27566.339869281044,52566.993464052284,80133.33333333333,34.400590519069524,True,243.5,350.3267973856209
SF10041,Karnataka,0.0,Pulses,Kharif,12.31,768.4,29.0,67.0,6.1,8.22,26.7,69.5,49.1,98.6,Flood,214.2,7.11,0.73,0.3,3.69,95238,791517,351428,-440089,6153,0.6,54.7,351428.22,-440089,-35750.528025995125,64298.700243704305,28548.17221770918,-125.22878085980626,False,217.2,499.83753046303815
SF10042,Maharashtra,0.0,Wheat,Zaid,13.35,156.6,30.8,51.7,9.9,6.34,19.5,135.7,75.0,115.5,Sprinkler,158.2,5.76,0.77,1.69,22.56,22869,897488,515925,-381563,7377,3.058,17.1,515924.63999999996,-381563,-28581.498127340823,67227.56554307116,38646.06741573034,-73.95706740320783,False,326.2,552.5842696629213
SF10043,Karnataka,0.0,Rice,Kharif,9.47,639.2,22.6,74.9,4.9,5.73,43.6,66.1,54.9,125.5,Rainfed,313.4,4.78,0.94,0.9,8.52,25346,744619,215948,-528671,7926,1.075,52.0,215947.91999999998,-528671,-55825.87117212249,78629.25026399155,22803.379091869057,-244.81402930335082,False,246.5,836.9588173178457
SF10044,Tamil Nadu,0.0,Wheat,Rabi,7.56,460.1,24.0,58.7,6.7,6.6,26.4,96.2,42.9,139.3,Sprinkler,241.9,5.34,0.69,2.6,19.66,24887,550176,489278,-60898,4545,4.326,44.7,489278.42,-60898,-8055.291005291006,72774.60317460318,64719.31216931217,-12.44650280617563,False,278.4,601.1904761904763
SF10045,Madhya Pradesh,0.0,Wheat,Kharif,14.23,853.7,28.2,77.6,6.9,7.04,31.8,109.5,61.7,148.7,Drip,163.7,4.26,0.85,3.35,47.67,23547,980255,1122485,142230,5966,7.99,55.4,1122485.49,142230,9995.080815179199,68886.50737877723,78881.58819395643,12.67099337630347,True,319.9,419.25509486999294
SF10046,Telangana,0.0,Wheat,Kharif,2.14,485.7,28.0,80.1,7.2,8.08,34.7,111.0,56.6,74.9,Drip,146.2,4.25,0.95,0.32,0.68,25224,116463,17152,-99311,791,0.86,49.4,17152.32,-99311,-46407.00934579439,54421.96261682243,8014.953271028037,-579.0053638059701,False,242.5,369.626168224299
SF10047,Andhra Pradesh,0.0,Groundnut,Kharif,5.6,728.5,27.0,76.7,6.9,6.36,27.4,92.2,72.7,80.9,Sprinkler,194.0,4.7,0.71,2.63,14.73,53568,337133,789057,451924,3052,4.826,63.2,789056.64,451924,80700.71428571429,60202.321428571435,140903.0357142857,57.27393585000831,True,245.8,545.0
SF10048,Punjab,0.0,Sugarcane,Zaid,7.68,90.0,31.9,52.7,9.8,6.51,18.3,164.0,59.6,54.9,Sprinkler,136.9,8.04,0.76,36.69,281.78,3682,480826,1037514,556688,13263,21.246,30.0,1037513.9599999998,556688,72485.41666666667,62607.552083333336,135092.96875,53.6559506666898,True,278.5,1726.953125
SF10049,Andhra Pradesh,0.0,Chilli,Zaid,5.52,91.3,34.1,63.0,7.2,5.55,20.9,124.8,75.2,130.8,Rainfed,207.3,4.96,0.87,0.3,1.66,102697,376564,170477,-206087,1257,1.321,43.9,170477.02,-206087,-37334.60144927537,68218.11594202899,30883.514492753624,-120.88844829507792,False,330.8,227.71739130434784
SF10050,Madhya Pradesh,0.0,Rice,Rabi,8.8,792.2,21.5,51.4,8.0,7.8,21.8,104.1,61.9,82.3,Flood,223.7,6.7,0.7,0.76,6.69,19703,741670,131813,-609857,15881,0.421,53.6,131813.07,-609857,-69301.93181818181,84280.68181818181,14978.749999999998,-462.6683255824539,False,248.3,1804.6590909090908
SF10051,Telangana,0.0,Rice,Zaid,9.82,227.2,29.5,63.5,7.6,6.81,17.8,122.5,54.9,97.0,Flood,162.7,0.62,0.78,2.87,28.18,21316,534995,600685,65690,16682,1.689,49.4,600684.88,65690,6689.409368635438,54480.14256619145,61169.55193482688,10.935848239926084,True,274.4,1698.7780040733196
SF10052,Andhra Pradesh,0.0,Pulses,Rabi,8.61,80.0,24.8,60.9,7.5,5.43,28.0,107.1,46.4,137.6,Sprinkler,178.1,4.92,1.0,0.3,2.58,71065,492155,183348,-308807,3106,0.831,40.2,183347.7,-308807,-35866.08594657375,57160.85946573752,21294.773519163766,-168.42670768156728,False,291.1,360.7433217189315
SF10053,Gujarat,0.0,Rice,Zaid,11.52,206.2,34.3,50.3,10.0,7.01,32.7,106.7,50.4,98.1,Flood,112.7,6.15,0.87,1.69,19.47,19275,674473,375284,-299189,20211,0.963,18.9,375284.25,-299189,-25971.267361111113,58548.003472222226,32576.736111111113,-79.72335617825433,False,255.2,1754.4270833333335
SF10054,Telangana,0.0,Maize,Kharif,3.18,591.2,28.1,63.9,6.8,5.66,30.8,126.9,27.6,137.7,Flood,289.5,5.4,0.77,1.11,3.53,17359,254223,61277,-192946,2327,1.517,39.8,61277.27,-192946,-60674.842767295595,79944.3396226415,19269.49685534591,-314.87507547693264,False,292.2,731.7610062893082
SF10055,Andhra Pradesh,0.0,Rice,Rabi,7.08,460.0,22.8,57.4,8.5,7.14,19.2,125.2,30.8,126.7,Flood,115.3,6.38,0.94,2.92,20.67,24229,591425,500813,-90612,16012,1.291,29.2,500813.43000000005,-90612,-12798.305084745763,83534.60451977402,70736.29943502825,-18.09298081319774,False,282.7,2261.5819209039546
SF10056,Karnataka,0.0,Groundnut,Rabi,11.7,167.3,26.2,62.4,6.8,6.3,21.8,122.8,27.7,135.0,Drip,240.5,5.39,0.94,1.74,19.42,50837,780159,987255,207096,4665,4.163,39.4,987254.54,207096,17700.51282051282,66680.25641025642,84380.76923076923,20.97695124359968,True,285.5,398.71794871794873
SF10057,Telangana,0.0,Pulses,Rabi,6.91,489.4,24.0,67.2,9.1,6.46,31.0,121.2,55.7,107.5,Drip,212.0,6.15,0.87,1.49,10.3,70845,462116,729704,267588,2165,4.758,34.5,729703.5,267588,38724.74674384949,66876.41099855282,105601.15774240231,36.670759650488414,True,284.4,313.3140376266281
SF10058,Telangana,0.0,Maize,Zaid,7.06,336.9,29.4,62.0,9.0,7.53,11.3,152.4,63.1,106.1,Rainfed,116.8,4.01,0.86,1.16,8.19,22633,430059,185364,-244695,2031,4.032,33.3,185364.27,-244695,-34659.34844192635,60914.87252124646,26255.524079320116,-132.0078332362271,False,321.6,287.67705382436264
SF10059,Madhya Pradesh,0.0,Maize,Zaid,6.62,278.1,31.1,59.3,8.3,7.55,19.1,129.3,82.0,47.0,Flood,168.0,2.1,0.89,1.34,8.87,18651,455124,165434,-289690,5550,1.598,47.6,165434.37,-289690,-43759.818731117826,68749.84894259818,24990.030211480364,-175.10910695503946,False,258.3,838.3685800604229
SF10060,Gujarat,0.0,Groundnut,Kharif,10.0,664.7,25.1,72.3,6.8,6.49,32.8,118.6,31.3,69.5,Flood,139.1,5.53,0.76,2.07,20.7,59223,619756,1225916,606160,7146,2.897,42.2,1225916.0999999999,606160,60616.0,61975.6,122591.6,49.44547587273516,True,219.4,714.6
SF10061,Karnataka,0.0,Groundnut,Kharif,14.38,1002.0,27.9,63.0,5.5,6.62,30.2,127.4,61.8,86.2,Rainfed,194.4,5.01,0.97,1.73,24.88,53834,972766,1339390,366624,4408,5.644,66.6,1339389.92,366624,25495.41029207232,67647.1488178025,93142.55910987483,27.372460597734786,True,275.4,306.53685674547984
SF10062,Karnataka,0.0,Cotton,Rabi,14.23,404.4,19.4,55.8,7.9,6.99,22.6,182.0,52.9,80.5,Drip,127.2,1.21,0.9,1.8,25.61,70385,815920,1802560,986640,9798,2.614,50.7,1802559.8499999999,986640,69335.20730850316,57338.018271257904,126673.22557976107,54.735487306941245,True,315.4,688.5453267744202
SF10063,Andhra Pradesh,0.0,Cotton,Zaid,5.46,148.5,31.2,59.9,7.7,6.31,21.5,81.9,56.0,124.3,Flood,157.7,3.34,0.7,0.91,4.97,66056,309945,328298,18353,4831,1.029,31.8,328298.32,18353,3361.355311355311,56766.48351648352,60127.83882783883,5.590347793772731,True,262.2,884.7985347985348
SF10064,Tamil Nadu,0.0,Rice,Kharif,3.95,1028.8,24.2,69.2,6.2,5.95,29.4,105.4,48.3,123.3,Flood,136.3,4.4,0.92,1.62,6.4,23591,258728,150982,-107746,8230,0.778,46.8,150982.4,-107746,-27277.468354430377,65500.759493670885,38223.29113924051,-71.3634737915778,False,277.0,2083.5443037974683
SF10065,Telangana,0.0,Pulses,Kharif,14.43,1012.7,30.2,65.2,7.9,6.71,23.2,102.9,66.6,93.5,Rainfed,276.7,5.63,0.97,0.99,14.29,86381,980375,1234384,254009,2290,6.24,53.6,1234384.49,254009,17602.8413028413,67940.05544005544,85542.89674289674,20.577794268234197,True,263.0,158.6971586971587
SF10066,Maharashtra,0.0,Groundnut,Rabi,7.49,234.8,20.5,49.1,8.4,6.55,30.3,84.7,72.9,72.2,Sprinkler,107.5,3.99,0.82,1.42,10.64,60410,506733,642762,136029,3460,3.075,59.9,642762.4,136029,18161.415220293726,67654.60614152203,85816.02136181576,21.163198820092042,True,229.8,461.9492656875834
SF10067,Tamil Nadu,0.0,Wheat,Rabi,7.25,410.0,23.4,61.1,9.4,7.08,28.3,199.3,60.4,66.8,Flood,198.1,7.33,0.8,2.66,19.28,20402,542011,393351,-148660,4731,4.075,41.4,393350.56,-148660,-20504.827586206895,74760.13793103448,54255.31034482759,-37.79321776225305,False,326.5,652.551724137931
SF10068,Maharashtra,0.0,Pulses,Rabi,5.28,498.8,26.9,51.3,7.5,6.21,29.0,152.6,48.9,95.2,Drip,114.7,5.33,0.69,1.37,7.23,71305,292198,515535,223337,1540,4.695,44.1,515535.15,223337,42298.67424242424,55340.530303030304,97639.20454545454,43.32140397839138,True,296.7,291.66666666666663
SF10069,Andhra Pradesh,0.0,Rice,Kharif,12.69,851.6,27.7,81.1,6.0,7.6,31.2,124.5,74.6,136.5,Flood,165.3,7.52,0.8,1.59,20.18,20502,865223,413730,-451493,22011,0.917,48.8,413730.36,-451493,-35578.64460204886,68181.48148148149,32602.836879432627,-109.12745026949943,False,335.6,1734.5153664302602
SF10070,Karnataka,0.0,Maize,Kharif,2.82,960.7,27.6,68.2,8.9,7.29,35.7,111.9,65.9,104.9,Flood,139.8,2.74,0.66,2.73,7.7,23906,171757,184076,12319,2056,3.745,59.3,184076.2,12319,4368.439716312057,60906.73758865248,65275.17730496454,6.6923444664160465,True,282.70000000000005,729.0780141843971
SF10071,Maharashtra,0.0,Cotton,Rabi,14.72,338.5,21.2,68.5,7.7,6.06,25.7,132.5,15.0,148.5,Drip,145.7,6.76,0.84,1.0,14.72,61717,960387,908474,-51913,9888,1.489,35.8,908474.24,-51913,-3526.698369565217,65243.68206521739,61716.98369565217,-5.714307729225053,False,296.0,671.7391304347826
SF10072,Madhya Pradesh,0.0,Maize,Rabi,1.48,342.0,19.3,62.5,8.2,6.73,31.4,112.7,75.1,112.8,Sprinkler,149.1,6.66,0.7,3.61,5.34,19548,105743,104386,-1357,916,5.83,29.3,104386.31999999999,-1357,-916.8918918918919,71447.97297297297,70531.08108108108,-1.2999827563083173,False,300.6,618.918918918919
SF10073,Tamil Nadu,0.0,Cotton,Kharif,7.37,765.5,26.4,89.0,6.4,7.28,30.3,119.2,63.4,140.7,Sprinkler,110.1,7.05,0.73,1.38,10.17,71337,478922,725497,246575,6169,1.649,55.2,725497.29,246575,33456.58073270014,64982.63229308005,98439.21302578019,33.98704612148637,True,323.29999999999995,837.0420624151967
SF10074,Gujarat,0.0,Maize,Rabi,1.41,80.0,26.2,64.6,7.6,6.76,30.1,85.8,38.5,128.9,Drip,121.9,6.85,0.95,3.26,4.6,19255,84476,88573,4097,777,5.92,26.7,88573.0,4097,2905.6737588652486,59912.05673758865,62817.73049645391,4.625563094848317,True,253.2,551.0638297872341
SF10075,Madhya Pradesh,0.0,Wheat,Kharif,13.3,935.5,28.0,55.6,6.8,7.21,27.3,131.9,48.9,93.9,Drip,149.7,0.64,0.72,2.77,36.84,22812,657906,840394,182488,5715,6.446,59.0,840394.0800000001,182488,13720.902255639097,49466.61654135338,63187.51879699248,21.71457673424608,True,274.70000000000005,429.69924812030075
SF10076,Maharashtra,0.0,Sugarcane,Kharif,10.64,869.0,33.2,82.3,5.6,6.42,37.4,148.0,104.4,90.2,Flood,212.2,5.8,0.79,62.58,665.85,3651,755288,2431018,1675730,23608,28.204,58.8,2431018.35,1675730,157493.42105263157,70985.71428571428,228479.13533834586,68.93120495199953,True,342.6,2218.796992481203
